threshold,delta,attack,tp,fp,fn,tn,tpr,fpr,prec,f1,groups,meta_alerts,reduction,groups_alerts,meta_alerts_alerts,reduction_alerts,avg_ratio,runtime
0.2,0.5,nmap,8,8,22,11644,0.26666666666666666,0.0006865774116031583,0.5,0.34782608695652173,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,nikto,620558,4134,2067402,500986,0.23086578669325436,0.008184193854925562,0.9933823388165688,0.3746593363866775,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,vrfy,354,247,246,47828,0.59,0.005137805512220489,0.589018302828619,0.5895087427144047,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,hydra,5874,2813,53906,414422,0.09826028772164604,0.0067420039066713,0.6761828018878785,0.17158631165378943,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,upload,10,1385,200,27610,0.047619047619047616,0.047766856354543884,0.007168458781362007,0.012461059190031152,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,exploit,60,32,180,30880,0.25,0.0010351966873706005,0.6521739130434783,0.3614457831325301,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,non-attack,0,7,0,1940,0.0,0.0035952747817154596,0.0,0.0,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,0.5,multiple,0,0,0,0,0.0,0,0.0,0,1948,31,0.9840862422997947,57766,20870,0.6387148149430462,0.7334801918140523,556.4138250350952
0.2,5,nmap,12,0,0,252,1.0,0.0,1.0,1.0,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,nikto,4,54,8,198,0.3333333333333333,0.21428571428571427,0.06896551724137931,0.11428571428571428,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,vrfy,6,4,6,248,0.5,0.015873015873015872,0.6,0.5454545454545454,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,hydra,610,106,382,1014,0.6149193548387096,0.09464285714285714,0.8519553072625698,0.7142857142857143,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,upload,8,58,22,308,0.26666666666666666,0.15846994535519127,0.12121212121212122,0.16666666666666666,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,exploit,60,4,180,812,0.25,0.004901960784313725,0.9375,0.39473684210526316,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,non-attack,0,0,0,66,0.0,0.0,0.0,0,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,5,multiple,0,0,0,0,0.0,0,0.0,0,67,13,0.8059701492537313,57766,23802,0.5879583145795104,0.5751001925839401,288.1141493320465
0.2,50,nmap,12,0,0,100,1.0,0.0,1.0,1.0,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,nikto,2,17,4,61,0.3333333333333333,0.21794871794871795,0.10526315789473684,0.16,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,vrfy,0,17,2,37,0.0,0.3148148148148148,0.0,0.0,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,hydra,12,56,0,44,1.0,0.56,0.17647058823529413,0.3,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,upload,6,45,0,33,1.0,0.5769230769230769,0.11764705882352941,0.21052631578947367,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,exploit,48,77,42,113,0.5333333333333333,0.4052631578947368,0.384,0.44651162790697674,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,non-attack,0,0,0,28,0.0,0.0,0.0,0,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.2,50,multiple,2,32,0,22,1.0,0.5925925925925926,0.058823529411764705,0.1111111111111111,29,6,0.7931034482758621,57766,25051,0.5663365993837206,0.4376017950933482,257.8845727443695
0.3,0.5,nmap,8,0,22,11652,0.26666666666666666,0.0,1.0,0.42105263157894735,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,nikto,793850,4996,1894110,500124,0.2953354960639295,0.0098907190370605,0.9937459785740931,0.45534509232805037,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,vrfy,238,65,362,48010,0.39666666666666667,0.0013520540821632865,0.7854785478547854,0.5271317829457365,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,hydra,4464,5068,55316,412167,0.07467380394780863,0.012146631993960239,0.468317247167436,0.12880886426592797,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,upload,22,66,188,28929,0.10476190476190476,0.0022762545266425244,0.25,0.1476510067114094,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,exploit,60,7,180,30905,0.25,0.00022644927536231884,0.8955223880597015,0.39087947882736157,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,non-attack,0,0,0,1947,0.0,0.0,0.0,0,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,0.5,multiple,0,0,0,0,0.0,0,0.0,0,1948,40,0.9794661190965093,57766,20986,0.6367067132915556,0.6457425375133199,435.98857378959656
0.3,5,nmap,12,0,0,252,1.0,0.0,1.0,1.0,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,nikto,4,0,8,252,0.3333333333333333,0.0,1.0,0.5,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,vrfy,6,4,6,248,0.5,0.015873015873015872,0.6,0.5454545454545454,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,hydra,610,31,382,1089,0.6149193548387096,0.027678571428571427,0.9516380655226209,0.747091243110839,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,upload,6,29,24,337,0.2,0.07923497267759563,0.17142857142857143,0.18461538461538463,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,exploit,60,4,180,812,0.25,0.004901960784313725,0.9375,0.39473684210526316,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,non-attack,0,0,0,66,0.0,0.0,0.0,0,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,5,multiple,0,0,0,0,0.0,0,0.0,0,67,15,0.7761194029850746,57766,26978,0.5329778762593913,0.5403398730272958,256.5701744556427
0.3,50,nmap,12,0,0,100,1.0,0.0,1.0,1.0,29,10,0.6551724137931034,57766,26299,0.5447321954090641,0.3669211948178212,251.98605966567993
0.3,50,nikto,2,9,4,69,0.3333333333333333,0.11538461538461539,0.18181818181818182,0.23529411764705882,29,10,0.6551724137931034,57766,26299,0.5447321954090641,0.3669211948178212,251.98605966567993
0.3,50,vrfy,0,9,2,45,0.0,0.16666666666666666,0.0,0.0,29,10,0.6551724137931034,57766,26299,0.5447321954090641,0.3669211948178212,251.98605966567993
0.3,50,hydra,2,11,10,89,0.16666666666666666,0.11,0.15384615384615385,0.16,29,10,0.6551724137931034,57766,26299,0.5447321954090641,0.3669211948178212,251.98605966567993
