threshold,delta,file,num_groups
0.2,0.5,ossec_cup,125
0.2,5,ossec_cup,19
0.2,50,ossec_cup,9
0.2,0.5,ossec_onion,19
0.2,5,ossec_onion,11
0.2,50,ossec_onion,7
0.2,0.5,ossec_insect,885
0.2,5,ossec_insect,14
0.2,50,ossec_insect,7
0.2,0.5,ossec_spiral,919
0.2,5,ossec_spiral,23
0.2,50,ossec_spiral,6
0.3,0.5,ossec_cup,125
0.3,5,ossec_cup,19
0.3,50,ossec_cup,9
0.3,0.5,ossec_onion,19
0.3,5,ossec_onion,11
0.3,50,ossec_onion,7
0.3,0.5,ossec_insect,885
0.3,5,ossec_insect,14
0.3,50,ossec_insect,7
0.3,0.5,ossec_spiral,919
0.3,5,ossec_spiral,23
0.3,50,ossec_spiral,6
0.4,0.5,ossec_cup,125
0.4,5,ossec_cup,19
0.4,50,ossec_cup,9
0.4,0.5,ossec_onion,19
0.4,5,ossec_onion,11
0.4,50,ossec_onion,7
0.4,0.5,ossec_insect,885
0.4,5,ossec_insect,14
0.4,50,ossec_insect,7
0.4,0.5,ossec_spiral,919
0.4,5,ossec_spiral,23
0.4,50,ossec_spiral,6
