group_id,class,file
0,nmap,cup
1,nikto,cup
2,vrfy,cup
3,vrfy,cup
4,hydra,cup
5,hydra,cup
6,hydra,cup
7,hydra,cup
8,hydra,cup
9,hydra,cup
10,hydra,cup
11,hydra,cup
12,hydra,cup
13,hydra,cup
14,hydra,cup
15,hydra,cup
16,hydra,cup
17,hydra,cup
18,hydra,cup
19,hydra,cup
20,hydra,cup
21,hydra,cup
22,hydra,cup
23,hydra,cup
24,hydra,cup
25,hydra,cup
26,hydra,cup
27,hydra,cup
28,hydra,cup
29,hydra,cup
30,hydra,cup
31,hydra,cup
32,hydra,cup
33,hydra,cup
34,hydra,cup
35,hydra,cup
36,hydra,cup
37,hydra,cup
38,hydra,cup
39,hydra,cup
40,upload,cup
41,upload,cup
42,exploit,cup
43,exploit,cup
44,exploit,cup
45,exploit,cup
46,nmap,onion
47,nikto,onion
48,hydra,onion
49,hydra,onion
50,hydra,onion
51,hydra,onion
52,hydra,onion
53,hydra,onion
54,hydra,onion
55,upload,onion
56,exploit,onion
57,exploit,onion
58,exploit,onion
59,nmap,insect
60,nikto,insect
61,nikto,insect
62,nikto,insect
63,nikto,insect
64,nikto,insect
65,nikto,insect
66,nikto,insect
67,nikto,insect
68,nikto,insect
69,nikto,insect
70,nikto,insect
71,nikto,insect
72,nikto,insect
73,nikto,insect
74,nikto,insect
75,nikto,insect
76,nikto,insect
77,nikto,insect
78,nikto,insect
79,nikto,insect
80,nikto,insect
81,nikto,insect
82,nikto,insect
83,nikto,insect
84,nikto,insect
85,nikto,insect
86,nikto,insect
87,nikto,insect
88,nikto,insect
89,nikto,insect
90,nikto,insect
91,nikto,insect
92,nikto,insect
93,nikto,insect
94,nikto,insect
95,nikto,insect
96,nikto,insect
97,vrfy,insect
98,hydra,insect
99,hydra,insect
100,hydra,insect
101,hydra,insect
102,hydra,insect
103,hydra,insect
104,hydra,insect
105,hydra,insect
106,hydra,insect
107,hydra,insect
108,hydra,insect
109,hydra,insect
110,hydra,insect
111,hydra,insect
112,hydra,insect
113,hydra,insect
114,hydra,insect
115,hydra,insect
116,hydra,insect
117,hydra,insect
118,hydra,insect
119,hydra,insect
120,hydra,insect
121,upload,insect
122,exploit,insect
123,exploit,insect
124,exploit,insect
125,exploit,insect
127,nmap,spiral
128,nikto,spiral
129,nikto,spiral
130,nikto,spiral
131,nikto,spiral
132,nikto,spiral
133,nikto,spiral
134,nikto,spiral
135,nikto,spiral
136,nikto,spiral
137,nikto,spiral
138,nikto,spiral
139,nikto,spiral
140,nikto,spiral
141,nikto,spiral
142,nikto,spiral
143,nikto,spiral
144,nikto,spiral
145,vrfy,spiral
146,hydra,spiral
147,hydra,spiral
148,hydra,spiral
149,hydra,spiral
150,hydra,spiral
151,hydra,spiral
152,hydra,spiral
153,hydra,spiral
154,hydra,spiral
155,hydra,spiral
156,hydra,spiral
157,hydra,spiral
158,hydra,spiral
159,hydra,spiral
160,hydra,spiral
161,hydra,spiral
162,hydra,spiral
163,hydra,spiral
164,hydra,spiral
165,hydra,spiral
166,hydra,spiral
167,hydra,spiral
168,hydra,spiral
169,hydra,spiral
170,hydra,spiral
171,hydra,spiral
172,hydra,spiral
173,hydra,spiral
174,hydra,spiral
175,hydra,spiral
176,hydra,spiral
177,hydra,spiral
178,hydra,spiral
179,hydra,spiral
180,hydra,spiral
181,upload,spiral
182,upload,spiral
183,upload,spiral
184,exploit,spiral
185,exploit,spiral
186,exploit,spiral
187,exploit,spiral
188,exploit,spiral
