threshold,delta,attack,noise,tp,fp,fn,tn,tpr,fpr,prec,f1
0.3,5,nmap,0.0,4,0,0,63,1.0,0.0,1.0,1.0
0.3,5,nikto,0.0,4,0,0,63,1.0,0.0,1.0,1.0
0.3,5,vrfy,0.0,3,2,1,61,0.75,0.031746031746031744,0.6,0.6666666666666666
0.3,5,hydra,0.0,30,1,2,34,0.9375,0.02857142857142857,0.967741935483871,0.9523809523809523
0.3,5,upload,0.0,2,0,4,61,0.3333333333333333,0.0,1.0,0.5
0.3,5,exploit,0.0,14,3,2,48,0.875,0.058823529411764705,0.8235294117647058,0.8484848484848485
0.3,5,non-attack,0.0,1,3,0,63,1.0,0.045454545454545456,0.25,0.4
0.3,5,multiple,0.0,0,0,0,67,0,0.0,0.0,0.0
0.3,5,noise,0.0,0,0,0,67,0,0.0,0.0,0.0
0.3,5,nmap,0.01,4,0,0,66,1.0,0.0,1.0,1.0
0.3,5,nikto,0.01,4,0,0,66,1.0,0.0,1.0,1.0
0.3,5,vrfy,0.01,3,2,1,64,0.75,0.030303030303030304,0.6,0.6666666666666666
0.3,5,hydra,0.01,30,1,2,37,0.9375,0.02631578947368421,0.967741935483871,0.9523809523809523
0.3,5,upload,0.01,2,0,3,65,0.4,0.0,1.0,0.5714285714285714
0.3,5,exploit,0.01,14,3,2,51,0.875,0.05555555555555555,0.8235294117647058,0.8484848484848485
0.3,5,non-attack,0.01,1,5,0,64,1.0,0.07246376811594203,0.16666666666666666,0.2857142857142857
0.3,5,multiple,0.01,0,1,1,68,0.0,0.014492753623188406,0.0,0.0
0.3,5,noise,0.01,0,0,3,67,0.0,0.0,0.0,0.0
0.3,5,nmap,0.05,4,0,0,68,1.0,0.0,1.0,1.0
0.3,5,nikto,0.05,4,0,0,68,1.0,0.0,1.0,1.0
0.3,5,vrfy,0.05,3,1,1,67,0.75,0.014705882352941176,0.75,0.75
0.3,5,hydra,0.05,28,2,3,39,0.9032258064516129,0.04878048780487805,0.9333333333333333,0.9180327868852459
0.3,5,upload,0.05,4,1,1,66,0.8,0.014925373134328358,0.8,0.8
0.3,5,exploit,0.05,14,3,2,53,0.875,0.05357142857142857,0.8235294117647058,0.8484848484848485
0.3,5,non-attack,0.05,1,2,0,69,1.0,0.028169014084507043,0.3333333333333333,0.5
