threshold,delta,file,num_groups,noise
0.3,5,ossec_onion,11,0.0
0.3,5,ossec_insect,14,0.0
0.3,5,ossec_spiral,23,0.0
0.3,5,ossec_cup,19,0.0
0.3,5,ossec_insect,14,0.0
0.3,5,ossec_spiral,23,0.0
0.3,5,ossec_cup,19,0.0
0.3,5,ossec_onion,11,0.0
0.3,5,ossec_spiral,23,0.0
0.3,5,ossec_cup,19,0.0
0.3,5,ossec_onion,11,0.0
0.3,5,ossec_insect,14,0.0
0.3,5,ossec_onion,12,0.01
0.3,5,ossec_insect,15,0.01
0.3,5,ossec_spiral,23,0.01
0.3,5,ossec_cup,20,0.01
0.3,5,ossec_insect,15,0.01
0.3,5,ossec_spiral,23,0.01
0.3,5,ossec_cup,20,0.01
0.3,5,ossec_onion,12,0.01
0.3,5,ossec_spiral,23,0.01
0.3,5,ossec_cup,20,0.01
0.3,5,ossec_onion,12,0.01
0.3,5,ossec_insect,15,0.01
0.3,5,ossec_onion,13,0.05
0.3,5,ossec_insect,16,0.05
0.3,5,ossec_spiral,24,0.05
0.3,5,ossec_cup,19,0.05
0.3,5,ossec_insect,16,0.05
0.3,5,ossec_spiral,24,0.05
0.3,5,ossec_cup,19,0.05
0.3,5,ossec_onion,13,0.05
0.3,5,ossec_spiral,24,0.05
0.3,5,ossec_cup,19,0.05
0.3,5,ossec_onion,13,0.05
0.3,5,ossec_insect,16,0.05
0.3,5,ossec_onion,14,0.1
0.3,5,ossec_insect,14,0.1
0.3,5,ossec_spiral,26,0.1
0.3,5,ossec_cup,22,0.1
0.3,5,ossec_insect,14,0.1
0.3,5,ossec_spiral,26,0.1
0.3,5,ossec_cup,22,0.1
0.3,5,ossec_onion,14,0.1
0.3,5,ossec_spiral,26,0.1
0.3,5,ossec_cup,22,0.1
0.3,5,ossec_onion,14,0.1
0.3,5,ossec_insect,14,0.1
0.3,5,ossec_onion,20,0.5
0.3,5,ossec_insect,21,0.5
0.3,5,ossec_spiral,35,0.5
0.3,5,ossec_cup,27,0.5
0.3,5,ossec_insect,21,0.5
0.3,5,ossec_spiral,35,0.5
0.3,5,ossec_cup,27,0.5
0.3,5,ossec_onion,20,0.5
0.3,5,ossec_spiral,35,0.5
0.3,5,ossec_cup,27,0.5
0.3,5,ossec_onion,20,0.5
0.3,5,ossec_insect,21,0.5
0.3,5,ossec_onion,29,1
0.3,5,ossec_insect,28,1
0.3,5,ossec_spiral,38,1
0.3,5,ossec_cup,33,1
0.3,5,ossec_insect,28,1
0.3,5,ossec_spiral,38,1
0.3,5,ossec_cup,33,1
0.3,5,ossec_onion,29,1
0.3,5,ossec_spiral,38,1
0.3,5,ossec_cup,33,1
0.3,5,ossec_onion,29,1
0.3,5,ossec_insect,28,1
0.3,5,ossec_onion,75,5
0.3,5,ossec_insect,74,5
0.3,5,ossec_spiral,88,5
0.3,5,ossec_cup,77,5
0.3,5,ossec_insect,74,5
0.3,5,ossec_spiral,88,5
0.3,5,ossec_cup,77,5
0.3,5,ossec_onion,75,5
0.3,5,ossec_spiral,88,5
0.3,5,ossec_cup,77,5
0.3,5,ossec_onion,75,5
0.3,5,ossec_insect,74,5
0.3,5,ossec_onion,87,10
0.3,5,ossec_insect,90,10
0.3,5,ossec_spiral,92,10
0.3,5,ossec_cup,85,10
0.3,5,ossec_insect,90,10
0.3,5,ossec_spiral,92,10
0.3,5,ossec_cup,85,10
0.3,5,ossec_onion,87,10
0.3,5,ossec_spiral,92,10
0.3,5,ossec_cup,85,10
0.3,5,ossec_onion,87,10
0.3,5,ossec_insect,90,10
0.3,5,ossec_onion,12,50
0.3,5,ossec_insect,14,50
0.3,5,ossec_spiral,14,50
0.3,5,ossec_cup,10,50
0.3,5,ossec_insect,14,50
0.3,5,ossec_spiral,14,50
0.3,5,ossec_cup,10,50
0.3,5,ossec_onion,12,50
0.3,5,ossec_spiral,14,50
0.3,5,ossec_cup,10,50
0.3,5,ossec_onion,12,50
0.3,5,ossec_insect,14,50
0.3,5,ossec_onion,2,100
0.3,5,ossec_insect,1,100
0.3,5,ossec_spiral,1,100
0.3,5,ossec_cup,1,100
0.3,5,ossec_insect,1,100
0.3,5,ossec_spiral,1,100
0.3,5,ossec_cup,1,100
0.3,5,ossec_onion,2,100
0.3,5,ossec_spiral,1,100
0.3,5,ossec_cup,1,100
0.3,5,ossec_onion,2,100
0.3,5,ossec_insect,1,100
0.3,5,ossec_onion,1,500
0.3,5,ossec_insect,1,500
0.3,5,ossec_spiral,1,500
0.3,5,ossec_cup,1,500
0.3,5,ossec_insect,1,500
0.3,5,ossec_spiral,1,500
0.3,5,ossec_cup,1,500
0.3,5,ossec_onion,1,500
0.3,5,ossec_spiral,1,500
0.3,5,ossec_cup,1,500
0.3,5,ossec_onion,1,500
0.3,5,ossec_insect,1,500
