threshold,delta,groups,meta_alerts,group_reduction,alerts,meta_alerts_alerts,alert_reduction
0.3,5,67,35,0.4776119402985075,57766,55318,0.04237786933490284
0.3,5,70,36,0.48571428571428577,57770,55320,0.04240955513242162
0.3,5,72,41,0.4305555555555556,57774,55621,0.03726589815487935
0.3,5,76,41,0.4605263157894737,57780,55329,0.042419522326064385
0.3,5,103,57,0.44660194174757284,57827,55905,0.03323706918913305
0.3,5,128,49,0.6171875,57885,61708,-0.06604474388874482
0.3,5,314,74,0.7643312101910829,58355,55954,0.04114471767629169
0.3,5,354,86,0.7570621468926554,58943,56814,0.03611964100911047
0.3,5,50,27,0.45999999999999996,63637,60897,0.04305671229001995
0.3,5,5,4,0.19999999999999996,69507,65540,0.05707338829182673
0.3,5,4,4,0.0,116465,121127,-0.04002919331988153
