threshold,delta,label,prediction,correct,group_id,similarity
0.3,5,nmap,nmap,True,0,0.7003571428571429
0.3,5,nikto,nikto,True,1,0.8870284844816203
0.3,5,vrfy,exploit,False,2,0.44253393665158375
0.3,5,vrfy,vrfy,True,3,0.9446540880503145
0.3,5,hydra,exploit,False,4,0.44253393665158375
0.3,5,hydra,hydra,True,5,0.6194805194805195
0.3,5,hydra,hydra,True,6,0.6428571428571429
0.3,5,hydra,hydra,True,7,0.6463009049773757
0.3,5,hydra,hydra,True,8,0.5281902940684016
0.3,5,hydra,hydra,True,9,0.6085714285714287
0.3,5,hydra,hydra,True,10,0.49736119174942706
0.3,5,hydra,hydra,True,11,0.6708146201624462
0.3,5,hydra,hydra,True,12,0.6428571428571429
0.3,5,hydra,exploit,False,13,0.5425339366515838
0.3,5,upload,hydra,False,14,0.225
0.3,5,exploit,exploit,True,15,0.5707058823529412
0.3,5,exploit,exploit,True,16,0.624188964201324
0.3,5,exploit,exploit,True,17,0.4237297677691767
0.3,5,exploit,exploit,True,18,0.6908556308679906
0.3,5,nmap,nmap,True,19,0.32071428571428573
0.3,5,nikto,nikto,True,20,0.8870131807015866
0.3,5,hydra,hydra,True,21,0.7200000000000002
0.3,5,hydra,hydra,True,22,0.6545454545454545
0.3,5,hydra,hydra,True,23,0.7714285714285714
0.3,5,hydra,hydra,True,24,0.6474886877828054
0.3,5,hydra,hydra,True,25,0.6428571428571429
0.3,5,upload,upload,True,26,0.40322186769444623
0.3,5,exploit,exploit,True,27,0.5707058823529412
0.3,5,exploit,exploit,True,28,0.6418360230248533
0.3,5,exploit,non-attack,False,29,0.06160714285714285
0.3,5,nmap,nmap,True,30,0.6876785714285715
0.3,5,nikto,nikto,True,31,0.9668300525161204
0.3,5,vrfy,vrfy,True,32,0.6752176679944375
0.3,5,hydra,hydra,True,33,0.7200000000000002
0.3,5,hydra,hydra,True,34,0.5625
0.3,5,hydra,hydra,True,35,0.5046428571428572
0.3,5,hydra,hydra,True,36,0.5625
0.3,5,hydra,hydra,True,37,0.5625
0.3,5,upload,upload,True,38,0.3698885343611129
0.3,5,exploit,exploit,True,39,0.6247058823529412
0.3,5,exploit,exploit,True,40,0.6418360230248533
0.3,5,exploit,exploit,True,41,0.624188964201324
0.3,5,exploit,exploit,True,42,0.5755270935960591
0.3,5,non-attack,non-attack,False,43,0.0
0.3,5,nmap,nmap,True,44,0.6003571428571429
0.3,5,nikto,nikto,True,45,0.9669603456757296
0.3,5,vrfy,vrfy,True,46,0.8211312628383254
0.3,5,hydra,hydra,True,47,0.675
0.3,5,hydra,hydra,True,48,0.6525
0.3,5,hydra,hydra,True,49,0.66
0.3,5,hydra,hydra,True,50,0.6525
0.3,5,hydra,hydra,True,51,0.5720454545454545
0.3,5,hydra,hydra,True,52,0.675
0.3,5,hydra,hydra,True,53,0.6090659340659341
0.3,5,hydra,hydra,True,54,0.6625000000000001
0.3,5,hydra,hydra,True,55,0.6675000000000001
0.3,5,hydra,hydra,True,56,0.5025000000000001
0.3,5,hydra,hydra,True,57,0.6572368421052631
0.3,5,hydra,hydra,True,58,0.6375
0.3,5,upload,non-attack,False,59,0.0008481392557022809
0.3,5,upload,non-attack,False,60,0.04821428571428571
0.3,5,upload,vrfy,False,61,0.3461538461538462
0.3,5,exploit,vrfy,False,62,0.6638009049773756
0.3,5,exploit,exploit,True,63,0.6247058823529412
0.3,5,exploit,exploit,True,64,0.6583084846841962
0.3,5,exploit,exploit,True,65,0.6583084846841962
0.3,5,exploit,exploit,True,66,0.5755270935960591
0.3,5,nmap,nmap,True,268,0.7003571428571429
0.3,5,nikto,nikto,True,269,0.8870284844816203
0.3,5,noise,non-attack,False,270,0.0
0.3,5,vrfy,exploit,False,271,0.44253393665158375
0.3,5,vrfy,vrfy,True,272,0.9446540880503145
0.3,5,hydra,exploit,False,273,0.44253393665158375
0.3,5,hydra,hydra,True,274,0.6194805194805195
0.3,5,hydra,hydra,True,275,0.6428571428571429
0.3,5,hydra,hydra,True,276,0.6463009049773757
0.3,5,hydra,hydra,True,277,0.5281902940684016
0.3,5,hydra,hydra,True,278,0.6085714285714287
0.3,5,hydra,hydra,True,279,0.49736119174942706
0.3,5,hydra,hydra,True,280,0.6708146201624462
0.3,5,hydra,hydra,True,281,0.6428571428571429
0.3,5,hydra,exploit,False,282,0.5425339366515838
0.3,5,upload,hydra,False,283,0.225
0.3,5,exploit,exploit,True,284,0.5707058823529412
0.3,5,exploit,exploit,True,285,0.624188964201324
0.3,5,exploit,exploit,True,286,0.4237297677691767
0.3,5,exploit,exploit,True,287,0.6908556308679906
0.3,5,nmap,nmap,True,288,0.32071428571428573
0.3,5,nikto,nikto,True,289,0.8870131807015866
